,x,M neg,M pos,T neg,T pos,N neg,N pos
0,0.0,-32.145,0.0,57.936,0.0,-0.073,0.073
1,0.069,-28.255,0.0,55.435,0.0,-0.073,0.073
2,0.137,-24.536,0.0,52.935,0.0,-0.07,0.07
3,0.206,-20.988,0.0,50.435,0.0,-0.067,0.067
4,0.275,-17.613,0.626,47.934,0.0,-0.064,0.064
5,0.343,-14.408,3.033,45.434,0.0,-0.061,0.061
6,0.412,-11.376,5.268,42.934,0.0,-0.058,0.058
7,0.48,-8.515,7.332,40.433,0.0,-0.055,0.055
8,0.549,-5.826,9.224,37.933,0.0,-0.052,0.052
9,0.618,-3.308,10.944,35.433,0.0,-0.049,0.049
10,0.686,-0.962,12.493,32.933,0.0,-0.046,0.046
11,0.755,0.0,13.87,30.433,0.0,-0.043,0.043
12,0.824,0.0,15.076,27.932,0.0,-0.04,0.04
13,0.892,0.0,16.11,25.432,0.0,-0.037,0.037
14,0.961,0.0,16.972,22.932,0.0,-0.034,0.034
15,1.03,0.0,17.663,20.432,0.0,-0.031,0.031
16,1.098,0.0,18.182,17.931,0.0,-0.028,0.028
17,1.167,0.0,18.53,15.431,0.0,-0.025,0.025
18,1.235,0.0,18.706,12.931,0.0,-0.022,0.022
19,1.304,0.0,18.71,10.431,-1.187,-0.019,0.019
20,1.373,0.0,18.543,7.93,-3.688,-0.016,0.016
21,1.441,0.0,18.204,5.43,-6.188,-0.013,0.013
22,1.51,0.0,17.694,2.93,-8.688,-0.01,0.01
23,1.579,0.0,17.012,0.43,-11.189,-0.007,0.007
24,1.647,0.0,16.158,0.0,-13.689,-0.004,0.004
25,1.716,0.0,15.133,0.0,-16.19,-0.001,0.001
26,1.784,0.0,13.936,0.0,-18.69,-0.001,0.001
27,1.853,0.0,12.675,0.0,-21.19,-0.004,0.004
28,1.922,0.0,11.925,0.0,-23.691,-0.007,0.007
29,1.99,0.0,11.01,0.0,-26.191,-0.01,0.01
30,2.059,0.0,9.924,0.0,-28.691,-0.013,0.013
31,2.128,0.0,8.667,0.0,-31.192,-0.016,0.016
32,2.196,0.0,7.238,0.0,-33.692,-0.019,0.019
33,2.265,0.0,5.637,0.0,-36.192,-0.022,0.022
34,2.334,-1.818,3.864,0.0,-38.693,-0.025,0.025
35,2.402,-4.56,1.92,0.0,-41.193,-0.028,0.028
36,2.471,-7.473,0.0,0.0,-43.693,-0.031,0.031
37,2.539,-10.558,0.0,0.0,-46.194,-0.034,0.034
38,2.608,-13.814,0.0,0.0,-48.694,-0.037,0.037
39,2.677,-17.242,0.0,0.0,-51.194,-0.04,0.04
40,2.745,-20.841,0.0,0.0,-53.695,-0.043,0.043
41,2.814,-24.612,0.0,0.0,-56.195,-0.046,0.046
42,2.883,-28.555,0.0,0.0,-58.695,-0.049,0.049
43,2.951,-32.669,0.0,0.0,-61.195,-0.052,0.052
44,3.02,-36.955,0.0,0.0,-63.696,-0.055,0.055
45,3.089,-41.412,0.0,0.0,-66.196,-0.058,0.058
46,3.157,-46.042,0.0,0.0,-68.696,-0.061,0.061
47,3.226,-50.842,0.0,0.0,-71.197,-0.064,0.064
48,3.294,-55.815,0.0,0.0,-73.697,-0.067,0.067
49,3.363,-60.958,0.0,0.0,-76.197,-0.07,0.07
50,3.432,-66.274,0.0,0.0,-78.698,-0.073,0.073
51,3.432,-110.46,0.0,145.271,0.0,-0.104,0.104
52,3.53,-96.523,0.0,139.387,0.0,-0.104,0.104
53,3.628,-83.162,0.0,133.503,0.0,-0.1,0.1
54,3.725,-70.378,0.0,127.619,0.0,-0.096,0.096
55,3.823,-58.169,0.0,121.735,0.0,-0.092,0.092
56,3.921,-46.537,0.0,115.851,0.0,-0.087,0.087
57,4.019,-35.48,0.0,109.967,0.0,-0.083,0.083
58,4.117,-25.0,0.0,104.083,0.0,-0.079,0.079
59,4.215,-15.096,0.0,98.199,0.0,-0.075,0.075
60,4.313,-5.769,2.441,92.315,0.0,-0.07,0.07
61,4.411,0.0,10.673,86.431,0.0,-0.066,0.066
62,4.509,0.0,18.328,80.547,0.0,-0.062,0.062
63,4.607,0.0,25.408,74.663,0.0,-0.058,0.058
64,4.705,0.0,31.911,68.779,0.0,-0.053,0.053
65,4.803,0.0,37.837,62.895,0.0,-0.049,0.049
66,4.901,0.0,43.188,57.011,0.0,-0.045,0.045
67,4.998,0.0,47.963,51.127,0.0,-0.041,0.041
68,5.096,0.0,52.161,45.243,0.0,-0.036,0.036
69,5.194,0.0,55.783,39.359,0.0,-0.032,0.032
70,5.292,0.0,58.829,33.475,0.0,-0.028,0.028
71,5.39,0.0,61.298,27.591,0.0,-0.023,0.023
72,5.488,0.0,63.192,21.707,0.0,-0.019,0.019
73,5.586,0.0,64.509,15.823,0.0,-0.015,0.015
74,5.684,0.0,65.25,9.939,0.0,-0.011,0.011
75,5.782,0.0,65.415,4.055,-1.258,-0.006,0.006
76,5.88,0.0,65.117,0.0,-7.142,-0.002,0.002
77,5.978,0.0,64.649,0.0,-13.026,-0.002,0.002
78,6.076,0.0,63.605,0.0,-18.91,-0.006,0.006
79,6.174,0.0,61.986,0.0,-24.794,-0.011,0.011
80,6.271,0.0,59.79,0.0,-30.678,-0.015,0.015
81,6.369,0.0,57.018,0.0,-36.562,-0.019,0.019
82,6.467,0.0,53.67,0.0,-42.446,-0.023,0.023
83,6.565,0.0,49.746,0.0,-48.33,-0.028,0.028
84,6.663,0.0,45.245,0.0,-54.214,-0.032,0.032
85,6.761,0.0,40.168,0.0,-60.098,-0.036,0.036
86,6.859,0.0,34.516,0.0,-65.982,-0.041,0.041
87,6.957,0.0,28.286,0.0,-71.866,-0.045,0.045
88,7.055,0.0,21.481,0.0,-77.75,-0.049,0.049
89,7.153,0.0,14.1,0.0,-83.634,-0.053,0.053
90,7.251,-1.252,6.142,0.0,-89.518,-0.058,0.058
91,7.349,-10.306,0.0,0.0,-95.402,-0.062,0.062
92,7.446,-19.936,0.0,0.0,-101.286,-0.066,0.066
93,7.544,-30.142,0.0,0.0,-107.17,-0.07,0.07
94,7.642,-40.924,0.0,0.0,-113.054,-0.075,0.075
95,7.74,-52.283,0.0,0.0,-118.938,-0.079,0.079
96,7.838,-64.217,0.0,0.0,-124.822,-0.083,0.083
97,7.936,-76.728,0.0,0.0,-130.706,-0.087,0.087
98,8.034,-89.815,0.0,0.0,-136.59,-0.092,0.092
99,8.132,-103.478,0.0,0.0,-142.474,-0.096,0.096
100,8.23,-117.718,0.0,0.0,-148.358,-0.1,0.1
101,8.328,-132.533,0.0,0.0,-154.242,-0.104,0.104
102,8.328,-127.066,0.0,175.072,0.0,-0.087,0.087
103,8.409,-113.07,0.0,168.632,0.0,-0.087,0.087
104,8.491,-99.598,0.0,162.191,0.0,-0.083,0.083
105,8.572,-86.651,0.0,155.751,0.0,-0.08,0.08
106,8.654,-74.229,0.0,149.31,0.0,-0.076,0.076
107,8.735,-62.33,0.0,142.87,0.0,-0.073,0.073
108,8.816,-50.957,0.0,136.429,0.0,-0.069,0.069
109,8.898,-40.108,0.0,129.989,0.0,-0.066,0.066
110,8.979,-29.783,0.0,123.548,0.0,-0.062,0.062
111,9.061,-19.983,0.0,117.108,0.0,-0.059,0.059
112,9.142,-10.708,0.0,110.667,0.0,-0.055,0.055
113,9.224,-1.957,7.078,104.227,0.0,-0.051,0.051
114,9.305,0.0,14.564,97.786,0.0,-0.048,0.048
115,9.387,0.0,21.525,91.346,0.0,-0.044,0.044
116,9.468,0.0,27.962,84.905,0.0,-0.041,0.041
117,9.549,0.0,33.874,78.465,0.0,-0.037,0.037
118,9.631,0.0,39.262,72.024,0.0,-0.034,0.034
119,9.712,0.0,44.125,65.584,0.0,-0.03,0.03
120,9.794,0.0,48.463,59.143,0.0,-0.027,0.027
121,9.875,0.0,52.277,52.702,0.0,-0.023,0.023
122,9.957,0.0,55.567,46.262,0.0,-0.02,0.02
123,10.038,0.0,58.332,39.821,0.0,-0.016,0.016
124,10.12,0.0,60.573,33.381,0.0,-0.012,0.012
125,10.201,0.0,62.294,26.94,0.0,-0.009,0.009
126,10.282,0.0,64.073,20.5,0.0,-0.005,0.005
127,10.364,0.0,65.479,14.059,0.0,-0.002,0.002
128,10.445,0.0,66.362,7.618,-1.475,-0.002,0.002
129,10.527,0.0,66.72,1.178,-7.915,-0.005,0.005
130,10.608,0.0,66.553,0.0,-14.356,-0.009,0.009
131,10.69,0.0,65.862,0.0,-20.796,-0.012,0.012
132,10.771,0.0,64.647,0.0,-27.236,-0.016,0.016
133,10.853,0.0,62.907,0.0,-33.677,-0.02,0.02
134,10.934,0.0,60.642,0.0,-40.117,-0.023,0.023
135,11.015,0.0,57.853,0.0,-46.558,-0.027,0.027
136,11.097,0.0,54.539,0.0,-52.998,-0.03,0.03
137,11.178,0.0,50.701,0.0,-59.439,-0.034,0.034
138,11.26,0.0,46.338,0.0,-65.879,-0.037,0.037
139,11.341,0.0,41.451,0.0,-72.319,-0.041,0.041
140,11.423,0.0,36.039,0.0,-78.76,-0.044,0.044
141,11.504,0.0,30.102,0.0,-85.2,-0.048,0.048
142,11.586,0.0,23.641,0.0,-91.641,-0.051,0.051
143,11.667,0.0,16.656,0.0,-98.081,-0.055,0.055
144,11.748,-4.774,9.145,0.0,-104.521,-0.059,0.059
145,11.83,-13.549,1.111,0.0,-110.962,-0.062,0.062
146,11.911,-22.849,0.0,0.0,-117.402,-0.066,0.066
147,11.993,-32.672,0.0,0.0,-123.843,-0.069,0.069
148,12.074,-43.021,0.0,0.0,-130.283,-0.073,0.073
149,12.156,-53.894,0.0,0.0,-136.724,-0.076,0.076
150,12.237,-65.292,0.0,0.0,-143.164,-0.08,0.08
151,12.319,-77.214,0.0,0.0,-149.605,-0.083,0.083
152,12.4,-89.66,0.0,0.0,-156.045,-0.087,0.087
153,12.4,0.0,0.0,0.0,0.0,0.0,0.0
